Comment,Description,Designator,Footprint,LibRef,Quantity

"22u","General Purpose Ceramic Capacitor, 1206, 22uF, 10%, X5R, 15%, 6.3V","C1","FP-1206-L_3_2_0_2-W_1_6_0-IPC_C","CMP-04427-006376-1","1"
"10n","","C2","CAPC1608X92X38NL15T08","CMP-2006-01186-1","1"
"M20-9990246","CONN HEADER VERT 2POS 2.54MM","J1","FP-M20-9990246-MFG","CMP-15831-000009-1","1"
"HLMP-P156-HK011","LED RED CLEAR FLAT 2SMD GW","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10","FP-HLMP-P156-HK011-MFG","CMP-18399-000014-1","10"
"1M","Axial Resistor, 1 MOhm, +/- 1%, 250 mW, -55 to 155 degC, 2-Pin THD, RoHS, Bulk","R1","RESA60-630X240","CMP-1659-00070-1","1"
"50k","TRIMMER 50K OHM 0.5W PC PIN TOP","R2","FP-3362P-1-503TLF-MFG","CMP-07234-000028-1","1"
"10K","RES MF 1/6W 1% AXIAL","R3","FP-MFR-12-MFG","CMP-03413-000012-1","1"
"120","RES 120 OHM 1% 0.4W AXIAL","R4","FP-MRS1600-MFG","CMP-02408-000036-1","1"
"NE555P","Precision Timer, 4.5 to 16 V, 0 to 70 degC, 8-Pin DIP, Pb-Free, Tube","U1","P0008A","CMP-2000-04954-1","1"
"CD74HC4017E","High Speed CMOS Logic Decade Counter/Divider with 10 Decoded Outputs, N0016A, TUBE","U2","N0016A","CMP-1623-00548-2","1"
